EMP1000,Bob,Davis,25,59767.65,2021-04-02,bob.davis@example.com,1651623197,AVERAGE,ACTIVE,1,DevOps,California
EMP1001,Bob,Brown,32,65304.66,2020-07-10,bob.brown@example.com,1898471390,EXCELLENT,ACTIVE,1,Finance,Texas
EMP1002,Alice,Jones,32,88145.9,2023-12-07,alice.jones@example.com,5596363211,GOOD,PENDING,1,Admin,Nevada
EMP1003,Eva,Davis,25,69450.99,2021-11-27,eva.davis@example.com,3476490784,GOOD,INACTIVE,1,Admin,Nevada
EMP1004,Frank,Williams,25,109324.61,2022-01-05,frank.williams@example.com,1586734256,POOR,ACTIVE,0,Cloud Tech,Florida
EMP1005,Alice,Garcia,40,88642.84,2020-06-10,alice.garcia@example.com,5409003485,GOOD,INACTIVE,0,Sales,Texas
EMP1006,Frank,Jones,32,96288.43,2020-04-03,frank.jones@example.com,4518376063,GOOD,ACTIVE,0,Admin,Nevada
EMP1007,Bob,Jones,30,94497.91,2022-07-17,bob.jones@example.com,4134327559,AVERAGE,INACTIVE,1,Cloud Tech,Florida
EMP1008,Frank,Davis,35,115565.82,2023-12-08,frank.davis@example.com,4177656123,EXCELLENT,INACTIVE,1,Admin,Nevada
EMP1009,Charlie,Johnson,32,76561.88,2022-08-04,charlie.johnson@example.com,8156985699,EXCELLENT,ACTIVE,1,DevOps,New York
EMP1010,David,Williams,35,72081.71,2024-07-06,david.williams@example.com,2720634590,AVERAGE,ACTIVE,0,Cloud Tech,New York
EMP1011,David,Davis,32,84946.19,2023-09-04,david.davis@example.com,1238296576,POOR,ACTIVE,1,DevOps,California
EMP1012,Heidi,Williams,30,89295.77,2024-03-05,heidi.williams@example.com,2429543164,EXCELLENT,ACTIVE,0,HR,New York
EMP1013,Grace,Williams,32,85666.84,2020-10-10,grace.williams@example.com,2669300892,GOOD,ACTIVE,0,Finance,California
EMP1014,Alice,Garcia,25,97633.68,2024-06-10,alice.garcia@example.com,1734206968,EXCELLENT,ACTIVE,1,Admin,Nevada
EMP1015,Grace,Jones,40,117975.49,2021-05-29,grace.jones@example.com,4215291085,GOOD,PENDING,1,Sales,Florida
EMP1016,Alice,Brown,25,94867.33,2024-04-23,alice.brown@example.com,7713334475,POOR,INACTIVE,0,DevOps,Illinois
EMP1017,Grace,Garcia,30,100377.65,2024-11-28,grace.garcia@example.com,2639343625,AVERAGE,PENDING,1,Finance,Texas
